City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Kudahuvadhoo,2.6708,72.8944,83.05,67,12,6.96,MV,few clouds
80,Lewistown,40.5992,-77.5714,50.0,84,100,2.44,US,overcast clouds
81,Severo-Kurilsk,50.6789,156.125,34.61,97,100,6.82,RU,overcast clouds
82,Provideniya,64.3833,-173.3,39.9,73,100,1.14,RU,overcast clouds
83,Poum,-20.2333,164.0167,78.64,76,100,6.26,NC,overcast clouds
84,Tuktoyaktuk,69.4541,-133.0374,24.8,86,20,10.36,CA,few clouds
85,Chumphon,10.3333,98.8333,84.2,84,75,2.3,TH,broken clouds
86,Thompson,55.7435,-97.8558,26.6,46,75,6.91,CA,broken clouds
87,Geraldton,-28.7667,114.6,78.8,34,99,8.05,AU,overcast clouds
88,Barrow,71.2906,-156.7887,28.4,80,1,8.05,US,clear sky
89,Sangre Grande,10.5835,-61.1177,79.0,83,20,5.75,TT,few clouds
90,Carnarvon,-24.8667,113.6333,82.4,34,1,4.61,AU,clear sky
91,Qaanaaq,77.484,-69.3632,22.96,68,80,8.48,GL,broken clouds
92,Barra Do Corda,-5.5,-45.25,73.74,96,90,3.51,BR,overcast clouds
93,Kajiado,-1.8524,36.7768,62.6,94,75,5.75,KE,broken clouds
94,Hasaki,35.7333,140.8333,73.0,49,75,9.22,JP,light rain
95,Cayenne,4.9333,-52.3333,80.01,89,0,5.75,GF,clear sky
96,Liling,27.6667,113.5,62.6,94,75,13.42,CN,broken clouds
97,Saverne,48.8333,7.25,46.99,70,0,4.61,FR,clear sky
98,Longyearbyen,78.2186,15.6401,16.09,95,98,3.02,SJ,overcast clouds
99,Grabouw,-34.1515,19.0151,60.01,82,0,3.44,ZA,clear sky
100,Beringovskiy,63.05,179.3167,32.65,93,100,2.59,RU,overcast clouds
101,Alofi,-19.0595,-169.9187,86.0,70,69,4.61,NU,broken clouds
102,Atuona,-9.8,-139.0333,80.71,74,47,15.28,PF,scattered clouds
103,Bluff,-46.6,168.3333,46.0,77,91,15.01,NZ,overcast clouds
104,Mount Gambier,-37.8333,140.7667,60.8,77,90,5.75,AU,overcast clouds
105,Mar Del Plata,-38.0023,-57.5575,57.0,94,40,5.75,AR,scattered clouds
106,Truth Or Consequences,33.1284,-107.2528,73.4,12,1,14.97,US,clear sky
107,Honiara,-9.4333,159.95,83.64,79,56,4.85,SB,light rain
108,Port Alfred,-33.5906,26.891,63.95,79,75,9.24,ZA,broken clouds
109,Salinopolis,-0.6136,-47.3561,78.71,85,100,5.03,BR,moderate rain
